index,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_DEGREE,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE,DAMAGE_COST,FATAL_COND
40191,60640,21.0,0.0,1.0,0.0,2,1996.0,1,3,5,2.0,35,0,0,2,1,2,1,1,2,0,3,4,16,1,5,2020,0.0,1,1,1,0,3,4
40192,60618,43.0,0.0,0.0,0.0,1,2019.0,1,3,1,1.0,35,0,0,2,1,2,1,1,2,0,3,4,16,1,5,2020,0.0,1,1,1,0,3,4
40193,60618,43.0,0.0,0.0,0.0,1,2005.0,1,4,2,1.0,35,0,0,2,1,2,1,1,2,0,3,4,16,1,5,2020,0.0,1,1,1,0,3,4
40194,60618,43.0,0.0,0.0,0.0,2,2014.0,1,3,5,2.0,35,0,0,2,1,2,1,1,2,0,3,4,16,1,5,2020,0.0,1,1,1,0,3,4
40195,60618,43.0,0.0,0.0,0.0,2,1996.0,1,3,5,2.0,35,0,0,2,1,2,1,1,2,0,3,4,16,1,5,2020,0.0,1,1,1,0,3,4
40247,60636,49.0,0.0,0.0,0.0,1,2013.0,1,3,1,7.0,30,2,0,2,4,1,0,1,2,0,1,2,18,1,5,2020,0.0,1,1,1,1,3,4
40350,60805,39.0,0.0,0.0,0.0,1,2013.0,3,2,1,1.0,25,2,1,2,2,11,2,1,2,0,1,2,20,1,5,2020,0.0,0,1,1,0,2,3
40427,60644,20.0,0.0,0.0,0.0,1,2000.0,2,1,1,1.0,30,1,1,2,2,1,1,1,2,0,3,2,23,1,5,2020,0.0,1,1,1,1,3,4
40428,60644,20.0,0.0,0.0,0.0,1,2007.0,1,2,1,12.0,30,1,1,2,2,1,1,1,2,0,3,2,23,1,5,2020,0.0,1,1,1,1,3,4
40611,21801,27.0,0.0,0.0,0.0,1,2016.0,3,3,1,4.0,30,1,1,1,1,2,3,2,1,0,1,2,13,2,5,2020,0.0,1,1,1,1,3,3
40911,60622,33.0,0.0,0.0,0.0,1,2006.0,1,3,1,1.0,30,1,0,1,4,2,0,1,1,0,1,2,20,2,5,2020,0.0,0,1,1,1,3,3
41175,60622,36.0,0.0,-1.0,0.0,1,2010.0,-1,3,1,1.0,30,1,1,1,1,2,2,1,1,-1,1,2,18,7,5,2020,1.0,0,1,1,1,3,4
41176,60622,36.0,0.0,-1.0,0.0,1,2006.0,1,4,2,6.0,30,1,1,1,1,2,2,1,1,-1,1,2,18,7,5,2020,1.0,0,1,1,1,3,4
41295,60634,53.0,0.0,0.0,1.0,1,2013.0,1,3,2,9.0,30,1,1,1,1,2,1,1,1,0,2,3,15,3,6,2020,0.0,1,1,1,0,1,3
41460,60634,36.0,0.0,3.0,0.0,1,2006.0,1,3,1,1.0,30,2,1,3,1,1,0,1,1,0,2,2,12,4,6,2020,1.0,0,1,1,1,3,4
41461,60634,36.0,0.0,3.0,0.0,1,2008.0,1,2,1,5.0,30,2,1,3,1,1,0,1,1,0,2,2,12,4,6,2020,1.0,0,1,1,1,3,4
41462,60651,16.0,0.0,0.0,0.0,1,2006.0,1,3,1,1.0,30,2,1,3,1,1,0,1,1,0,2,2,12,4,6,2020,1.0,0,1,1,1,3,4
