index,CITY,STATE,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,MAKE,MODEL,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_INBOTH,FATAL_CARPPL,FATAL_OTHPPL,FATAL_INAUTO,FATAL_DEGREE,DAMAGE_500_OR_LESS,DAMAGE_501_1500,DAMAGE_OVER_1500,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE
112866,SKOKIE,IL,60076,36.0,0.0,0.0,0.0,1,2,1,2017.0,4,2,1,3.0,50,0,1,1,5,1,0,2,2,-1,1,2,8,2,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,1
112869,CHICAGO,IL,60649,40.0,0.0,0.0,0.0,1,12,53,2019.0,1,2,6,1.0,30,1,1,1,1,3,0,1,2,0,4,2,8,2,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,1,1,1,0
112870,CHICAGO,IL,60649,40.0,0.0,0.0,0.0,1,3,40,2015.0,1,2,1,2.0,30,1,1,1,1,3,0,1,2,0,4,2,8,2,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,1,1,1,0
112893,CHICAGO,IL,60649,36.9,0.0,5.0,0.0,1,4,29,2020.0,1,4,12,3.0,35,0,0,1,1,2,0,1,1,0,2,2,8,2,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
112894,CHICAGO,IL,60649,36.9,0.0,5.0,0.0,1,18,91,2011.0,2,4,1,11.0,35,0,0,1,1,2,0,1,1,0,2,2,8,2,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
112895,CHICAGO,IL,60652,45.0,0.0,0.0,0.0,1,4,29,2020.0,1,4,12,3.0,35,0,0,1,1,2,0,1,1,0,2,2,8,2,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
112896,CHICAGO,IL,60652,45.0,0.0,0.0,0.0,1,18,91,2011.0,2,4,1,11.0,35,0,0,1,1,2,0,1,1,0,2,2,8,2,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
112900,CHICAGO,IL,60619,40.0,0.0,0.0,0.0,1,7,51,2016.0,1,2,1,6.0,30,0,0,2,1,2,0,1,2,0,4,2,8,2,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,0,1,1,0
112943,BERKELEY,IL,60163,29.0,0.0,0.0,0.0,1,4,18,2013.0,1,4,2,5.0,30,1,1,1,1,2,1,1,1,-1,2,2,9,2,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,0,1,1,0
112992,CHICAGO,IL,60623,27.0,0.0,0.0,0.0,1,11,35,2006.0,1,2,3,3.0,30,1,1,3,1,2,0,1,1,0,2,2,11,2,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,0,1,1,0
113545,CHICAGO,IL,60623,27.0,0.0,0.0,0.0,1,21,196,2018.0,1,3,1,1.0,30,2,1,1,1,11,0,1,1,0,1,2,16,5,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,0,1,1,0
