,index,CITY,STATE,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,MAKE,MODEL,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_INBOTH,FATAL_CARPPL,FATAL_OTHPPL,FATAL_INAUTO,FATAL_DEGREE,DAMAGE_500_OR_LESS,DAMAGE_501_1500,DAMAGE_OVER_1500,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE
1641,77922,CHICAGO,IL,60641,44.0,0.0,1.0,0.0,1,6,56,2017.0,1,3,1,5.0,30,1,1,1,1,1,0,1,1,0,1,2,10,3,6,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,1,1,1,0
1642,78310,OAK_LAWN,IL,60453,39.0,0.0,0.0,0.0,1,3,3,2002.0,1,2,3,10.0,30,1,1,1,1,3,0,2,1,0,2,2,16,2,6,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,1,1,1,0
1643,78648,CHICAGO,IL,60620,36.0,0.0,3.0,0.0,1,3,109,2017.0,1,2,1,1.0,30,1,1,1,2,1,4,1,1,0,1,2,19,3,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1,1,0
1644,78649,CHICAGO,IL,60620,36.0,0.0,3.0,0.0,1,18,105,2008.0,1,3,1,6.0,30,1,1,1,2,1,4,1,1,0,1,2,19,3,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1,1,0
1645,78650,CHICAGO,IL,60620,36.0,0.0,3.0,0.0,1,3,109,2017.0,1,2,1,1.0,30,1,1,1,2,1,4,1,1,0,1,2,19,3,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1,1,0
1646,78651,CHICAGO,IL,60620,36.0,0.0,3.0,0.0,1,18,105,2008.0,1,3,1,6.0,30,1,1,1,2,1,4,1,1,0,1,2,19,3,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1,1,0
1647,78652,CHICAGO,IL,60637,32.0,0.0,0.0,0.0,1,3,109,2017.0,1,2,1,1.0,30,1,1,1,2,1,4,1,1,0,1,2,19,3,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,0
1648,78653,CHICAGO,IL,60637,32.0,0.0,0.0,0.0,1,18,105,2008.0,1,3,1,6.0,30,1,1,1,2,1,4,1,1,0,1,2,19,3,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,0
1649,78654,CHICAGO,IL,60637,32.0,0.0,0.0,0.0,1,3,109,2017.0,1,2,1,1.0,30,1,1,1,2,1,4,1,1,0,1,2,19,3,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,0
1650,78655,CHICAGO,IL,60637,32.0,0.0,0.0,0.0,1,18,105,2008.0,1,3,1,6.0,30,1,1,1,2,1,4,1,1,0,1,2,19,3,6,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,0
